Feature,Importance
time_of_day_minutes,0.2868806017622349
day_time_interaction,0.16678169796950829
Semester_Week,0.10280216918413398
semester_progress,0.09968019367139222
time_to_noon,0.06605575513717697
minute,0.03495737905966297
Cumulative_GPA,0.02431360574717129
Total_Credit_Hours_Earned,0.02262749531317682
credit_to_gpa_ratio,0.022252142857731083
progress_ratio,0.02184714013151868
student_engagement,0.018730021026983085
Change_in_GPA,0.018004968759902994
cumulative_to_term_gpa_ratio,0.015762298152497384
Term_GPA,0.014433771179875349
Term_Credit_Hours,0.01140132877806964
course_complexity,0.009620485830364216
day_4,0.009146572333069236
day_1,0.006300713690557293
sin_hour,0.006080904792686163
Graduation_Year,0.005584762527555424
years_to_graduation,0.005530227435551311
class_standing_numeric,0.004662413257294731
day_sin,0.004538870754476407
is_stem,0.003828696517723531
Day_Of_Week,0.003025461937456919
hour_block_afternoon,0.0026073706102057305
day_3,0.002433164224503131
cos_hour,0.0023254980790104627
hour,0.0022855588389808553
day_cos,0.0019323072869163857
day_2,0.00124765321600043
day_0,0.0011655329507140224
hour_block_midday,0.0003045395201675398
is_peak_hours,0.0002965125359930362
hour_block_evening,0.00028708398985592546
Is_weekend,0.00019148660167165192
day_6,5.394059065881545e-05
hour_block_morning,1.9673747551284285e-05
